"Full Sun, Full Sun to Partial Shade",Mesic,3-6 feet
fail,fail,fail
Full Sun,Mesic,30 inches
"Full Sun, Full Sun to Partial Shade",Mesic,fail
"Partial or Dappled Shade, Partial Shade to Full Shade, Full Shade",fail,6-12 inches
"Full Sun, Full Sun to Partial Shade","Wet, Wet Mesic, Mesic, Dry Mesic, Dry",4-6 feet
Full Sun,"Mesic, Dry Mesic, Dry",20-40 feet
Full Sun,"Mesic, Dry Mesic, Dry",fail
"Full Sun, Full Sun to Partial Shade","Mesic, Dry Mesic, Dry",20-40 feet
Full Sun,"Wet, Wet Mesic, Mesic, Dry Mesic, Dry",30-60 feet
"Full Sun, Full Sun to Partial Shade","Mesic, Dry Mesic, Dry",4-6 feet
Full Sun,"Wet, Wet Mesic, Mesic, Dry Mesic, Dry",fail
Full Sun,"Mesic, Dry Mesic, Dry",30 feet
"Full Sun, Full Sun to Partial Shade","Wet, Wet Mesic, Mesic",75-100 feet
"Partial or Dappled Shade, Partial Shade to Full Shade, Full Shade","Wet, Wet Mesic, Mesic, Dry Mesic, Dry",6-12 inches
"Full Sun, Full Sun to Partial Shade",Mesic,6-12 feet
Full Sun,Mesic,30-40 feet
"Full Sun, Full Sun to Partial Shade",Mesic,fail
"Full Sun, Full Sun to Partial Shade, Partial or Dappled Shade, Partial Shade to Full Shade, Full Shade","Mesic, Dry Mesic, Dry",fail
"Full Sun, Full Sun to Partial Shade","Mesic, Dry Mesic, Dry",fail
"Full Sun, Full Sun to Partial Shade","Mesic, Dry Mesic, Dry",fail
"Full Sun, Full Sun to Partial Shade","Mesic, Dry Mesic, Dry",30-60 feet
Full Sun,"Mesic, Dry Mesic, Dry",fail
Full Sun,"Mesic, Dry Mesic, Dry",35-50 feet
Full Sun,"Wet, Wet Mesic, Mesic, Dry Mesic, Dry",40-60 feet
Full Sun,"Wet, Wet Mesic, Mesic",40-60 feet
"Full Sun, Full Sun to Partial Shade",Mesic,30-50 feet
"Full Sun, Full Sun to Partial Shade","Mesic, Dry Mesic, Dry",40-60 feet
Full Sun,"Mesic, Dry Mesic, Dry",35-50 feet
"Full Sun, Full Sun to Partial Shade","Mesic, Dry Mesic, Dry",60-120 feet
"Full Sun, Full Sun to Partial Shade, Partial or Dappled Shade","Mesic, Dry Mesic, Dry",4-8 feet
"Full Sun, Full Sun to Partial Shade",Mesic,6-10 feet
"Full Sun, Full Sun to Partial Shade",Mesic,8-10 feet
fail,fail,fail
"Full Sun, Full Sun to Partial Shade","Mesic, Dry Mesic, Dry",6-10 feet
Partial or Dappled Shade,"Wet, Wet Mesic, Mesic",-25 feet
"Full Sun, Full Sun to Partial Shade",fail,fail
"Full Sun, Full Sun to Partial Shade","Mesic, Dry Mesic, Dry",fail
"Full Sun, Full Sun to Partial Shade","Wet, Wet Mesic, Mesic",6-12 feet
Full Sun,"Mesic, Dry Mesic, Dry",3-6 feet
Full Sun,"Mesic, Dry Mesic, Dry",20-35 feet
"Full Sun, Full Sun to Partial Shade",Mesic,12-18 inches
"Full Sun, Full Sun to Partial Shade",Mesic,30-50 feet
fail,fail,fail
Full Sun,"Wet, Wet Mesic, Mesic",15-25 feet
"Partial or Dappled Shade, Partial Shade to Full Shade, Full Shade","Wet, Wet Mesic, Mesic",10-20 feet
"Full Sun, Full Sun to Partial Shade",Mesic,12-24 inches
"Full Sun, Full Sun to Partial Shade, Partial or Dappled Shade","Mesic, Dry Mesic, Dry",5-6 feet
Full Sun,"Wet, Wet Mesic, Mesic",35 feet
"Full Sun, Full Sun to Partial Shade","Wet, Wet Mesic, Mesic",fail
"Full Sun, Full Sun to Partial Shade",Mesic,30-50 feet
"Full Sun, Full Sun to Partial Shade, Partial or Dappled Shade, Partial Shade to Full Shade, Full Shade","Wet, Wet Mesic, Mesic",25-35 feet
fail,"Mesic, Dry Mesic, Dry",fail
"Full Sun, Full Sun to Partial Shade, Partial or Dappled Shade","Wet, Wet Mesic, Mesic",5-6 feet
"Full Sun, Full Sun to Partial Shade",Mesic,8-15 feet
"Full Sun, Full Sun to Partial Shade, Partial or Dappled Shade","Mesic, Dry Mesic, Dry",fail
fail,Mesic,fail
Full Sun,Mesic,fail
